,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI
2021-12-02,385.8,391.74,384.34,389.91,389.91,84416623,0.0000,1.0,380.5608,392.5666,48.9047
2021-12-01,398.28,400.48,386.64,387.12,387.12,78379245,0.0000,1.0,380.1540,392.8322,45.9275
2021-11-30,398.78,401.19,391.75,393.82,393.82,81332693,0.0000,1.0,379.7346,393.4035,52.7862
2021-11-29,395.89,400.73,395.14,399.69,399.69,54447106,0.0000,1.0,379.1722,393.3618,60.0863
2021-11-26,396.11,397.54,389.77,391.2,391.2,51533314,0.0000,1.0,378.6465,392.7290,50.9820
2021-11-24,394.93,399.05,392.54,398.76,398.76,46954382,0.0000,1.0,378.3802,392.8819,62.8325
2021-11-23,398.11,400.23,392.92,397.48,397.48,70098736,0.0000,1.0,377.9574,392.2941,61.4227
2021-11-22,405.57,408.71,399.19,399.3,399.3,61715370,0.0000,1.0,377.5046,391.7755,64.6609
2021-11-19,403.43,405.3,402.58,403.99,403.99,45191721,0.0000,1.0,377.0367,391.0230,73.9958
2021-11-18,399.73,402.27,397.45,401.75,401.75,45721515,0.0000,1.0,376.4801,389.7263,72.2169
2021-11-17,397.75,399.7196,396.64,397.63,397.63,28703263,0.0000,1.0,376.0260,388.5239,68.5416
2021-11-16,393.86,397.93,393.66,397.42,397.42,27872940,0.0000,1.0,375.6803,387.6133,68.3434
2021-11-15,395.91,396.24,392.095,394.61,394.61,33716861,0.0000,1.0,375.3655,386.6327,65.6547
2021-11-12,391.77,395.25,390.13,394.7,394.7,32532903,0.0000,1.0,375.0961,385.8349,65.8210
2021-11-11,392.57,392.75,390.24,390.59,390.59,32242983,0.0000,1.0,374.8015,384.9484,61.7091
2021-11-10,392.47,395.36,387.53,389.51,389.51,54937385,0.0000,1.0,374.5927,384.3843,60.5511
2021-11-09,399.16,399.57,393.92,395.32,395.32,50119363,0.0000,1.0,374.3929,383.8717,71.3266
2021-11-08,398.57,399.62,397.4,398.06,398.06,29256270,0.0000,1.0,374.0831,382.7269,77.3549
2021-11-05,400.04,400.99,397.16,398.6,398.6,43383802,0.0000,1.0,373.6342,381.1936,78.5701
2021-11-04,394.48,399.2,393.92,398.22,398.22,40265313,0.0000,1.0,373.1022,379.4529,78.3479
2021-11-03,389.55,393.61,388.48,393.18,393.18,33748901,0.0000,1.0,372.6253,377.5762,75.1770
2021-11-02,386.8,389.54,386.75,389.05,389.05,24161597,0.0000,1.0,372.2406,376.0158,72.0641
2021-11-01,386.56,387.56,384.42,387.43,387.43,30483910,0.0000,1.0,371.9158,374.7124,70.7270
2021-10-29,381.06,386.28,380.7,386.11,386.11,37310116,0.0000,1.0,371.5135,373.4407,69.6271
2021-10-28,381.95,384.48,381.155,384.22,384.22,38007005,0.0000,1.0,371.0622,372.1737,68.0299
2021-10-27,379.58,383.15,379.31,380.0,380.0,45760496,0.0000,1.0,370.6138,370.9691,64.1179
2021-10-26,380.23,382.71,377.905,379.12,379.12,47191279,0.0000,1.0,370.3202,370.0660,63.2471
2021-10-25,375.56,378.87,373.56,377.93,377.93,32597804,0.0000,1.0,370.1090,369.1606,62.0919
2021-10-22,375.98,376.97,372.385,374.1,374.1,36275822,0.0000,1.0,369.9185,368.2837,58.1617
2021-10-21,374.16,377.47,373.85,377.27,377.27,25469277,0.0000,1.0,369.7788,367.7021,63.1974
2021-10-20,375.94,376.565,373.46,374.98,374.98,31390338,0.0000,1.0,369.5493,366.7453,60.9281
2021-10-19,373.75,375.52,372.6974,375.47,375.47,29090963,0.0000,1.0,369.3782,365.9218,61.6838
2021-10-18,367.61,372.87,366.99,372.65,372.65,34513514,0.0000,1.0,369.2351,364.9670,58.9639
2021-10-15,367.88,369.06,366.82,368.94,368.94,40419878,0.0000,1.0,369.1348,364.1987,55.0673
2021-10-14,363.69,366.85,363.01,366.63,366.63,43433867,0.0000,1.0,369.1410,363.7245,52.4572
2021-10-13,359.51,360.69,357.43,360.0,360.0,40120795,0.0000,1.0,369.1469,363.4340,43.7487
2021-10-12,359.88,360.33,356.48,357.14,357.14,43905101,0.0000,1.0,369.2748,363.7774,39.2947
2021-10-11,359.58,363.2,358.3,358.39,358.39,34847182,0.0000,1.0,369.4157,364.4411,40.5993
2021-10-08,364.08,364.3166,360.61,361.16,361.16,41822309,0.0000,1.0,369.5311,365.0463,43.5765
2021-10-07,362.8,365.69,362.25,362.97,362.97,39411172,0.0000,1.0,369.6292,365.4349,45.6057
2021-10-06,354.08,359.95,353.15,359.67,359.67,56806536,0.0000,1.0,369.6781,365.6814,40.9506
2021-10-05,353.71,359.69,353.48,357.38,357.38,47232904,0.0000,1.0,369.7651,366.2825,37.5042
2021-10-04,358.52,358.86,350.32,352.62,352.62,76766005,0.0000,1.0,369.9790,367.1728,29.5702
2021-10-01,358.6,361.25,354.38,360.18,360.18,56375488,0.0000,1.0,370.2822,368.6280,36.3819
2021-09-30,360.97,362.68,357.1,357.96,357.96,61384577,0.0000,1.0,370.3494,369.4728,32.1180
2021-09-29,361.17,363.37,358.635,359.28,359.28,58076621,0.0000,1.0,370.4132,370.6241,33.3522
2021-09-28,365.67,370.302,359.35,359.87,359.87,97701632,0.0000,1.0,370.3953,371.7585,33.8928
2021-09-27,370.2,371.2516,367.73,370.35,370.35,43338079,0.0000,1.0,370.2833,372.9474,46.2587
2021-09-24,370.65,373.76,370.27,373.33,373.33,36056800,0.0000,1.0,370.0202,373.2071,51.1902
2021-09-23,370.76,374.04,370.099,372.98,372.98,44652002,0.0000,1.0,369.7559,373.1948,50.6160
2021-09-22,367.09,371.07,365.9584,369.57,369.57,46972920,0.0000,1.0,369.5495,373.2163,44.7346
2021-09-21,367.58,368.81,364.99,366.15,366.15,41927483,0.0000,1.0,369.3983,373.5809,37.8402
2021-09-20,367.46,369.25,360.93,365.7,365.7,76203202,0.4139,1.0,369.3155,374.3240,36.8781
2021-09-17,377.82,377.87,372.76,373.83,373.407366576,60912267,0.0000,1.0,369.2135,375.1864,48.9205
2021-09-16,376.68,378.9,374.695,378.31,377.882301713,35193083,0.0000,1.0,368.9127,375.3644,59.3733
2021-09-15,375.73,378.41,373.37,378.05,377.622595656,34097865,0.0000,1.0,368.5658,375.1126,58.9001
2021-09-14,377.86,378.61,374.28,375.26,374.83574989,41826624,0.0000,1.0,368.2091,374.8616,53.5031
2021-09-13,378.99,379.43,374.22,376.33,375.904540202,48741781,0.0000,1.0,367.8770,374.8641,56.1278
2021-09-10,381.23,381.97,376.245,376.59,376.164246259,40249405,0.0000,1.0,367.4423,374.7601,56.7560
2021-09-09,381.01,382.15,379.22,379.47,379.040990275,29398978,0.0000,1.0,366.9996,374.6197,64.1404
2021-09-08,381.93,381.93,378.45,380.78,380.349509255,32949159,0.0000,1.0,366.5106,374.1776,67.8700
2021-09-07,381.68,382.778,380.4882,382.11,381.678005624,23970203,0.0000,1.0,365.9698,373.5604,71.8064
2021-09-03,379.22,381.98,379.2003,381.57,381.138616121,24624937,0.0000,1.0,365.3175,372.7486,71.1761
2021-09-02,381.97,382.31,379.15,380.4,379.969938864,25503535,0.0000,1.0,364.6846,371.9096,69.8187
2021-09-01,381.04,382.71,380.37,380.58,380.149735365,28138311,0.0000,1.0,364.0322,371.1036,70.2916
2021-08-31,380.51,380.579,378.36,379.95,379.520447612,29628175,0.0000,1.0,363.3727,370.1989,69.6229
2021-08-30,376.85,380.76,376.83,380.26,379.830097141,27295665,0.0000,1.0,362.6617,369.2668,70.3464
2021-08-27,373.07,376.56,372.57,376.04,375.614868061,27104749,0.0000,1.0,361.9021,368.2105,65.8622
2021-08-26,373.92,374.62,371.97,372.42,371.998960651,29133325,0.0000,1.0,361.2809,367.4700,61.1870
2021-08-25,374.63,375.39,373.855,374.8,374.376269943,20441880,0.0000,1.0,360.6455,367.0171,66.7694
2021-08-24,373.84,374.99,373.36,374.37,373.946756079,21732913,0.0000,1.0,359.9876,366.2812,66.2529
2021-08-23,368.8,373.935,368.79,373.23,372.808044906,34034744,0.0000,1.0,359.3831,365.5147,64.9101
2021-08-20,365.06,368.14,364.74,367.73,367.31426293,39486034,0.0000,1.0,358.7362,364.7853,57.2984
2021-08-19,360.22,365.68,359.96,363.96,363.548525102,48499368,0.0000,1.0,358.1814,364.5324,50.4583
2021-08-18,365.18,366.62,361.865,362.21,361.800503565,38541940,0.0000,1.0,357.6319,364.6308,46.7840
2021-08-17,366.15,367.15,363.23,365.73,365.316524029,44793902,0.0000,1.0,357.1157,364.9138,54.3068
2021-08-16,367.67,369.02,363.7,368.98,368.562849743,35044107,0.0000,1.0,356.5260,364.8736,62.9906
2021-08-13,367.89,369.16,367.38,368.82,368.403030631,19113595,0.0000,1.0,355.8515,364.5046,62.7181
2021-08-12,365.69,367.9,364.295,367.53,367.11448904,26003877,0.0000,1.0,355.0684,364.1148,60.5429
2021-08-11,368.14,368.65,364.84,366.21,365.795981365,34249812,0.0000,1.0,354.3803,363.8148,58.2271
