,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI
2021-12-07,464.41,468.88,458.6546,468.28,468.28,92791114,0.0000,1.0,454.1160,461.2554,57.3925
2021-12-06,456.13,460.79,453.56,458.79,458.79,98977532,0.0000,1.0,453.6032,460.5530,48.7809
2021-12-03,459.17,460.3,448.92,453.42,453.42,137331647,0.0000,1.0,453.3056,460.7293,42.6951
2021-12-02,450.73,459.07,450.31,457.4,457.4,127637758,0.0000,1.0,453.1008,461.4602,46.4973
2021-12-01,461.64,464.67,450.29,450.5,450.5,132485835,0.0000,1.0,452.7100,461.8662,37.5433
2021-11-30,462.0,464.03,455.3,455.56,455.56,148559598,0.0000,1.0,452.3726,463.0028,42.3721
2021-11-29,464.07,466.56,461.73,464.6,464.6,86268818,0.0000,1.0,451.9422,463.7471,53.8655
2021-11-26,462.34,463.9,457.77,458.97,458.97,112669636,0.0000,1.0,451.4782,463.6618,45.2822
2021-11-24,466.06,469.57,465.19,469.44,469.44,61858813,0.0000,1.0,451.2134,464.1310,66.7168
2021-11-23,467.22,469.095,464.45,468.19,468.19,73206538,0.0000,1.0,450.7533,463.6001,64.8735
2021-11-22,470.89,473.54,467.35,467.57,467.57,72761954,0.0000,1.0,450.2442,463.1411,63.9541
2021-11-19,469.61,470.94,468.5,468.89,468.89,57315573,0.0000,1.0,449.7956,462.6983,67.4442
2021-11-18,469.24,470.01,466.34,469.73,469.73,50625607,0.0000,1.0,449.2979,462.0791,69.6915
2021-11-17,469.0,469.19,467.48,468.14,468.14,47858289,0.0000,1.0,448.8539,461.3140,67.8060
2021-11-16,467.15,470.485,467.07,469.28,469.28,48857502,0.0000,1.0,448.4802,460.6314,70.7357
2021-11-15,468.64,468.81,466.23,467.43,467.43,46980500,0.0000,1.0,448.0947,459.7665,68.6976
2021-11-12,465.12,467.86,464.11,467.27,467.27,51018081,0.0000,1.0,447.7785,459.0002,68.5216
2021-11-11,465.21,465.29,463.75,463.77,463.77,34848495,0.0000,1.0,447.4677,458.1732,64.4614
2021-11-10,465.58,467.38,462.04,463.62,463.62,69429653,0.0000,1.0,447.1991,457.6135,64.2780
2021-11-09,469.32,469.57,465.88,467.38,467.38,50232447,0.0000,1.0,446.9288,457.0129,73.0510
2021-11-08,469.7,470.23,468.2031,468.93,468.93,50405194,0.0000,1.0,446.5966,455.9762,77.0779
2021-11-05,469.28,470.65,466.92,468.53,468.53,66390563,0.0000,1.0,446.1940,454.6808,76.7711
2021-11-04,465.36,467.0,464.99,466.91,466.91,52847087,0.0000,1.0,445.7198,453.2959,75.5397
2021-11-03,461.3,465.15,460.83,464.72,464.72,52509825,0.0000,1.0,445.3309,451.9345,73.7959
2021-11-02,460.22,462.23,460.08,461.9,461.9,47840033,0.0000,1.0,444.9670,450.6559,71.3542
2021-11-01,460.3,460.7021,458.2,460.04,460.04,47474495,0.0000,1.0,444.6453,449.5315,69.6204
2021-10-29,455.87,459.56,455.56,459.25,459.25,70162424,0.0000,1.0,444.2831,448.4806,68.8775
2021-10-28,455.46,458.4,455.45,458.32,458.32,51437944,0.0000,1.0,443.8669,447.4037,68.0227
2021-10-27,456.45,457.16,453.86,453.94,453.94,72437997,0.0000,1.0,443.4558,446.3121,63.6573
2021-10-26,457.2,458.49,455.56,455.96,455.96,56075116,0.0000,1.0,443.2292,445.5493,67.6099
2021-10-25,454.28,455.9,452.39,455.55,455.55,45214507,0.0000,1.0,443.0205,444.5082,67.2264
2021-10-22,453.13,454.67,451.05,453.12,453.12,58845088,0.0000,1.0,442.7992,443.4040,64.9417
2021-10-21,451.77,453.829,451.31,453.59,453.59,41305438,0.0000,1.0,442.6103,442.4324,65.7651
2021-10-20,451.13,452.732,451.01,452.41,452.41,49571569,0.0000,1.0,442.3855,441.3167,64.7224
2021-10-19,448.92,450.71,448.27,450.64,450.64,46996827,0.0000,1.0,442.1623,440.2073,63.1595
2021-10-18,443.97,447.55,443.27,447.19,447.19,62213228,0.0000,1.0,441.9636,439.1641,59.9479
2021-10-15,444.75,446.26,444.09,445.87,445.87,66260210,0.0000,1.0,441.8410,438.3615,58.6677
2021-10-14,439.08,442.66,438.58,442.5,442.5,70236825,0.0000,1.0,441.7303,437.6106,55.2792
2021-10-13,434.71,436.05,431.54,435.18,435.18,72973979,0.0000,1.0,441.6316,437.1217,46.4194
2021-10-12,435.67,436.1,432.78,433.62,433.62,71181163,0.0000,1.0,441.7226,437.3159,44.2330
2021-10-11,437.16,440.26,434.62,434.69,434.69,65233285,0.0000,1.0,441.7738,437.6854,45.4132
2021-10-08,439.48,439.89,437.19,437.86,437.86,74557404,0.0000,1.0,441.8219,437.9850,49.0108
2021-10-07,438.39,441.68,438.2,438.66,438.66,72437499,0.0000,1.0,441.8493,437.9975,49.9378
2021-10-06,429.27,435.1199,427.54,434.9,434.9,113032245,0.0000,1.0,441.8243,437.9312,45.4333
2021-10-05,430.24,435.49,429.39,433.1,433.1,90682520,0.0000,1.0,441.8782,438.2344,43.1598
2021-10-04,433.0,433.96,426.36,428.64,428.64,128569957,0.0000,1.0,442.0082,438.7478,37.1333
2021-10-01,430.98,436.0329,427.23,434.24,434.24,129240106,0.0000,1.0,442.2058,439.7586,42.3711
2021-09-30,436.02,436.77,428.78,429.14,429.14,140505979,0.0000,1.0,442.2021,440.3104,34.5658
2021-09-29,435.19,437.04,433.85,434.45,434.45,82329213,0.0000,1.0,442.2823,441.4275,39.7740
2021-09-28,439.69,440.04,432.94,433.72,433.72,130436306,0.0000,1.0,442.1867,442.1252,38.5928
2021-09-27,442.81,444.05,441.9,442.64,442.64,61371108,0.0000,1.0,441.9843,442.9657,49.6386
2021-09-24,441.44,444.67,441.21,443.91,443.91,62094837,0.0000,1.0,441.7305,442.9983,51.5907
2021-09-23,439.85,444.89,439.6,443.18,443.18,76395981,0.0000,1.0,441.5192,442.9071,50.5528
2021-09-22,436.05,440.03,433.747,437.86,437.86,102350143,0.0000,1.0,441.3523,442.8799,42.1607
2021-09-21,436.53,437.91,433.07,433.63,433.63,92526112,0.0000,1.0,441.2788,443.3818,33.8749
2021-09-20,434.88,436.56,428.86,434.04,434.04,166445534,0.0000,1.0,441.3196,444.3570,34.3173
2021-09-17,444.92,445.37,441.02,441.4,441.4,118425037,1.4281,1.0,441.3211,445.3887,43.8689
2021-09-16,447.32,448.36,444.02,447.17,445.727880463,77786735,0.0000,1.0,441.0837,445.7876,51.7308
2021-09-15,444.62,448.41,443.44,447.88,446.435590719,78792222,0.0000,1.0,440.8303,445.7936,53.1779
2021-09-14,448.12,448.34,443.22,444.17,442.737555438,78197140,0.0000,1.0,440.5323,445.7294,45.8247
2021-09-13,448.64,448.92,444.11,446.58,445.139783208,83738649,0.0000,1.0,440.3240,446.0286,50.6199
2021-09-10,451.04,451.49,445.31,445.44,444.003459699,89948174,0.0000,1.0,440.0020,446.1174,48.2408
2021-09-09,450.7,452.57,448.72,448.98,447.532043228,57970407,0.0000,1.0,439.6555,446.3288,56.0235
2021-09-08,450.89,451.67,448.86,450.91,449.455818994,56181907,0.0000,1.0,439.2313,446.2085,61.0061
2021-09-07,452.71,452.81,450.7423,451.46,450.004045249,51671534,0.0000,1.0,438.7640,445.8838,62.4765
2021-09-03,451.98,453.63,451.55,453.08,451.618820762,47234364,0.0000,1.0,438.2686,445.4717,66.8856
2021-09-02,453.32,454.05,451.91,453.19,451.728466013,42830867,0.0000,1.0,437.7108,444.8570,67.1845
2021-09-01,452.56,453.11,451.545,451.8,450.342948752,48721378,0.0000,1.0,437.1010,444.1699,65.3683
2021-08-31,452.13,452.49,450.92,451.56,450.10372275,59300213,0.0000,1.0,436.5290,443.5526,65.0582
2021-08-30,450.97,453.07,450.71,452.23,450.771562005,48357355,0.0000,1.0,435.9170,442.8975,66.6041
2021-08-27,447.12,450.65,447.06,450.25,448.797947489,77235113,0.0000,1.0,435.1732,442.1101,64.2747
2021-08-26,448.61,448.86,446.16,446.26,444.820815206,57829572,0.0000,1.0,434.5817,441.4413,58.9120
2021-08-25,448.17,449.457,447.77,448.91,447.462268978,40529711,0.0000,1.0,434.0724,441.1033,64.9222
2021-08-24,447.97,448.54,447.42,447.97,446.52530047,38744714,0.0000,1.0,433.5574,440.4674,63.7025
2021-08-23,445.16,448.23,443.4355,447.26,445.817590214,54973038,0.0000,1.0,433.0766,439.8616,62.7951
2021-08-20,440.23,443.71,439.71,443.36,441.930167682,72008712,0.0000,1.0,432.5912,439.2660,57.3582
2021-08-19,436.27,441.14,436.12,439.86,438.441455153,92812246,0.0000,1.0,432.1695,438.9996,51.4453
2021-08-18,442.96,444.625,438.92,439.18,437.763648147,89351931,0.0000,1.0,431.7787,439.0554,50.1995
2021-08-17,444.24,444.96,440.85,444.04,442.607974687,92673933,0.0000,1.0,431.4140,439.1846,60.5018
2021-08-16,444.53,447.11,442.87,446.97,445.528525462,73930864,0.0000,1.0,430.9506,438.8423,68.3552
2021-08-13,445.59,445.94,445.07,445.92,444.481911703,38673164,0.0000,1.0,430.4369,438.1737,66.9266
2021-08-12,443.62,445.2572,442.66,445.11,443.674523946,38942418,0.0000,1.0,429.8681,437.5428,65.8214
2021-08-11,443.82,443.882,442.62,443.78,442.348813185,44034340,0.0000,1.0,429.3464,436.9297,63.9863
2021-08-10,442.61,443.44,441.88,442.68,441.252360676,43339275,0.0000,1.0,428.8381,436.3878,62.4376
2021-08-09,442.46,442.795,441.31,442.13,440.704134422,41222585,0.0000,1.0,428.3591,435.9013,61.6723
2021-08-06,442.1,442.94,441.8,442.49,441.062973425,46930008,0.0000,1.0,427.8761,435.4210,62.4455
2021-08-05,440.22,441.85,439.88,441.76,440.335327668,38969659,0.0000,1.0,427.3816,434.8568,61.5375
2021-08-04,439.78,441.1243,438.73,438.98,437.564293145,46732212,0.0000,1.0,426.8852,434.3090,57.9413
2021-08-03,438.44,441.28,436.1,441.15,439.727294913,58053896,0.0000,1.0,426.4626,433.9834,62.1534
2021-08-02,440.34,440.93,437.21,437.59,436.178775884,58783297,0.0000,1.0,425.9128,433.4091,57.4402
2021-07-30,437.91,440.06,437.77,438.51,437.095808891,68951202,0.0000,1.0,425.4407,433.1321,59.2097
2021-07-29,439.815,441.8,439.81,440.65,439.228907409,45910298,0.0000,1.0,424.8624,432.7357,63.4301
2021-07-28,439.68,440.3,437.31,438.83,437.414776894,52472360,0.0000,1.0,424.2629,432.0864,61.2487
