,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI
2021-12-02,37.89,38.8657,37.75,38.66,38.66,97077605,0.0000,1.0,39.3480,39.2690,44.1101
2021-12-01,38.63,38.88,37.54,37.54,37.54,102020897,0.0000,1.0,39.3170,39.3299,31.3591
2021-11-30,38.42,38.58,37.9,37.96,37.96,121263739,0.0000,1.0,39.2962,39.5089,34.0653
2021-11-29,39.22,39.36,38.595,38.89,38.89,79316461,0.0000,1.0,39.2680,39.6638,41.4139
2021-11-26,38.84,39.005,38.33,38.77,38.77,76492188,0.0000,1.0,39.2385,39.7412,39.8594
2021-11-24,40.11,40.26,39.945,40.1,40.1,40410284,0.0000,1.0,39.2148,39.8383,54.8319
2021-11-23,39.83,40.22,39.66,40.19,40.19,61571249,0.0000,1.0,39.1666,39.8122,56.1574
2021-11-22,39.54,39.96,39.22,39.57,39.57,81965804,0.0000,1.0,39.1095,39.7744,48.1377
2021-11-19,39.11,39.25,38.715,39.02,39.02,71858073,0.0000,1.0,39.0749,39.7948,38.9369
2021-11-18,39.69,39.765,39.265,39.45,39.45,42995332,0.0000,1.0,39.0428,39.8723,44.6931
2021-11-17,40.05,40.05,39.54,39.65,39.65,53557211,0.0000,1.0,39.0077,39.9145,47.7413
2021-11-16,40.2,40.35,40.0,40.11,40.11,32599496,0.0000,1.0,38.9664,39.9410,55.8811
2021-11-15,40.26,40.36,40.07,40.15,40.15,30081055,0.0000,1.0,38.9176,39.9241,56.6612
2021-11-12,40.12,40.16,39.79,40.15,40.15,38992913,0.0000,1.0,38.8727,39.9015,56.6612
2021-11-11,40.01,40.19,39.84,40.06,40.06,31438902,0.0000,1.0,38.8325,39.8767,55.4548
2021-11-10,39.98,40.2,39.85,39.95,39.95,60695081,0.0000,1.0,38.7915,39.8583,54.0017
2021-11-09,40.03,40.155,39.7643,40.02,40.02,48332649,0.0000,1.0,38.7571,39.8491,55.0631
2021-11-08,40.27,40.535,40.141,40.24,40.24,32864577,0.0000,1.0,38.7223,39.8321,58.4138
2021-11-05,40.32,40.49,39.89,40.02,40.02,57866347,0.0000,1.0,38.6941,39.7913,55.9232
2021-11-04,40.38,40.48,39.69,40.0,40.0,48279711,0.0000,1.0,38.6601,39.7684,55.6992
2021-11-03,40.25,40.68,40.17,40.53,40.53,42946753,0.0000,1.0,38.6303,39.7452,63.6588
2021-11-02,40.27,40.5,40.16,40.38,40.38,31213515,0.0000,1.0,38.5809,39.6668,62.2407
2021-11-01,40.54,40.63,40.12,40.28,40.28,36615691,0.0000,1.0,38.5299,39.5954,61.3061
2021-10-29,40.47,40.545,40.18,40.26,40.26,42091996,0.0000,1.0,38.4748,39.5270,61.1274
2021-10-28,40.09,40.44,40.0649,40.42,40.42,44566648,0.0000,1.0,38.4155,39.4537,63.2990
2021-10-27,40.5,40.68,39.92,39.93,39.93,62449508,0.0000,1.0,38.3586,39.3570,59.1745
2021-10-26,40.67,40.86,40.54,40.6,40.6,41586934,0.0000,1.0,38.3208,39.2997,69.0233
2021-10-25,40.72,40.77,40.465,40.57,40.57,33120959,0.0000,1.0,38.2750,39.1697,68.8075
2021-10-22,40.25,40.6879,40.21,40.62,40.62,41458194,0.0000,1.0,38.2318,39.0297,69.5576
2021-10-21,40.22,40.3099,39.855,40.06,40.06,35067638,0.0000,1.0,38.1934,38.8707,65.6647
2021-10-20,39.84,40.23,39.73,40.23,40.23,44670214,0.0000,1.0,38.1647,38.7517,68.1202
2021-10-19,39.7,39.91,39.55,39.91,39.91,33082564,0.0000,1.0,38.1239,38.6039,65.8907
2021-10-18,39.43,39.7499,39.32,39.52,39.52,56312728,0.0000,1.0,38.0816,38.4733,62.9591
2021-10-15,39.31,39.71,39.18,39.51,39.51,58411071,0.0000,1.0,38.0451,38.3686,62.8832
2021-10-14,38.72,38.94,38.35,38.93,38.93,51893515,0.0000,1.0,37.9938,38.2545,58.2752
2021-10-13,38.5,38.54,37.74,38.29,38.29,72113636,0.0000,1.0,37.9445,38.1869,52.1941
2021-10-12,38.58,38.765,38.41,38.51,38.51,58527656,0.0000,1.0,37.9143,38.1766,54.7407
2021-10-11,39.11,39.4,38.61,38.63,38.63,50748310,0.0000,1.0,37.8715,38.1433,56.1277
2021-10-08,38.87,39.1557,38.69,39.02,39.02,38607472,0.0000,1.0,37.8260,38.0946,60.7751
2021-10-07,39.0,39.24,38.78,38.83,38.83,53295643,0.0000,1.0,37.7786,38.0021,59.2486
2021-10-06,38.21,38.63,37.93,38.6,38.6,63431067,0.0000,1.0,37.7270,37.9193,57.3845
2021-10-05,38.1,38.75,37.955,38.56,38.56,56058435,0.0000,1.0,37.6810,37.8512,57.0674
2021-10-04,38.09,38.59,37.755,37.82,37.82,69772684,0.0000,1.0,37.6359,37.7803,50.7741
2021-10-01,37.63,38.41,37.49,38.15,38.15,70443993,0.0000,1.0,37.6015,37.7764,54.0553
2021-09-30,38.35,38.36,37.52,37.53,37.53,73319263,0.0000,1.0,37.5593,37.7390,48.2174
2021-09-29,38.22,38.3,37.95,38.13,38.13,49882532,0.0000,1.0,37.5375,37.7599,54.4326
2021-09-28,38.73,38.92,38.0409,38.1,38.1,96152675,0.0000,1.0,37.4913,37.7229,54.1582
2021-09-27,38.56,38.85,38.49,38.74,38.74,58794503,0.0000,1.0,37.4284,37.6852,61.4922
2021-09-24,37.99,38.355,37.935,38.22,38.22,48066072,0.0000,1.0,37.3728,37.5797,57.1102
2021-09-23,37.47,38.2,37.41,38.02,38.02,71804987,0.0000,1.0,37.3376,37.5157,55.2933
2021-09-22,36.96,37.37,36.88,37.11,37.11,58350790,0.0000,1.0,37.3040,37.4652,45.5474
2021-09-21,36.78,36.915,36.41,36.5,36.5,45837597,0.0000,1.0,37.2920,37.5008,36.9987
2021-09-20,36.59,36.685,36.03,36.55,36.55,95008836,0.1620,1.0,37.3001,37.6008,37.4461
